,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12
,23,7349.224337,7530.352287,7360.543153,6999.243379,7255.543271,7726.462403,2936.605664,3838.916048,3542.709203,968.6221394,644.7719777,912.1001199,4206.868351,3855.729545,3825.164698,2334.309978,2398.705127,2166.896286,103.3458604,214.8568541,417.4031196,-21.56883841,-35.87586126,-25.39592429,252.4177892,385.7438743,403.9305239,71.96718898,67.85713505,150.5277979,-30.92238068,-47.70068,-25.38759596,-53.28861837,-37.37974914,-18.94830548,-45.74906229,-36.88624036,-33.15158068,-60.7372833,-29.56452338,-60.13901962,-51.77727554,-40.39960767,-29.04829604,-25.48296969,-38.94531497,-24.87425601
,24,10288.51091,10524.5265,10368.17187,10622.7113,10335.34101,11193.61316,5274.625352,6727.440538,6398.242586,1933.377286,1359.653321,1815.501474,7515.007206,6774.044053,6600.033932,4335.716271,4406.629052,4019.244733,256.2408085,515.1285937,898.5618725,1.141746047,4.956610074,-18.34513763,545.5442043,822.8826004,867.1836601,231.2989376,216.7616821,359.8390497,1.571093139,-32.19961492,-1.190661805,-55.78251177,-39.9688416,-28.82230842,-30.52594297,-29.21477701,-37.22957483,-65.51038939,-38.51151874,-57.6604896,-48.57878887,-41.50213341,-35.57100031,-27.72878604,-43.36066839,-38.28439667
,25,12759.44341,13042.67358,12982.70378,13722.12419,13038.46794,14344.23424,8467.963255,10280.76689,10300.73036,3636.862294,2643.816167,3433.616027,10851.01642,10289.75867,9831.608905,7673.131058,7656.940918,6863.592591,559.7220145,1069.694205,1793.853172,53.83285819,80.3351703,5.006915656,1103.181537,1652.952928,1737.442352,541.9877908,511.3440409,754.5804578,61.08868247,3.189053164,54.17294536,-54.31694356,-40.30842445,-38.52792133,-2.470665374,3.942425474,-31.6241179,-50.50127099,-32.31095698,-52.47405212,-52.89921346,-47.20456852,-34.08698345,-20.1837714,-46.97768166,-45.52774352
,26,14418.11693,14735.75814,14766.7283,16000.07896,14930.89124,16636.64613,11396.71738,13366.08876,13834.42345,6414.977055,4841.166484,6120.867025,13823.84505,13288.62336,12567.71914,11058.79998,10903.19138,10311.41108,1140.334676,2112.075301,3436.37768,154.2229161,239.2690014,57.36436977,2138.154293,3176.598562,3322.524746,1146.166766,1070.164336,1503.692056,178.8366293,79.67381803,161.8852556,-50.70431798,-37.65668412,-48.93725602,66.88095674,60.12242118,-22.62400384,-32.57818533,-21.32914274,-49.42048008,-59.97211429,-46.23067972,-37.64686811,-31.80528492,-44.51566154,-49.59980724
,27,15403.578,15768.56593,15842.37025,17434.94884,16130.42421,18085.7331,13754.96514,15685.40023,16615.3006,9903.97888,8197.802395,9781.05949,15893.74066,15478.34647,14550.87139,14085.63151,13781.61026,13271.26466,2204.138487,3972.604216,6172.88754,355.3635591,549.7486799,182.0218115,3982.419872,5728.683496,5949.053297,2272.541673,2116.113464,2879.87062,415.8769224,226.4333342,371.5627346,-42.32926854,-34.63819498,-44.01664147,207.2597059,172.0509059,8.584797062,8.060271952,1.878543631,-31.41041625,-60.66530879,-35.67377561,-32.07376417,-31.87576646,-42.7415099,-57.60790518
,28,16005.97742,16386.31094,16497.08695,18336.36117,16873.58433,19000.40202,15373.48023,17176.50118,18434.21986,12948.57439,11406.28049,13075.46323,17135.71022,16830.68171,15785.85823,16250.39773,15851.44184,15470.12356,4056.488408,6895.946462,10139.09254,745.8850531,1152.446694,419.0494301,6825.779678,9445.280349,9622.907468,4269.824006,3961.203338,5230.460869,858.6440322,518.4264664,776.7143496,-23.1380425,-15.47425948,-52.00178811,469.8846371,389.527431,47.92467341,101.5265062,54.02441427,10.14905827,-50.48910358,-34.19076568,-39.59134404,-37.12664703,-51.35142261,-49.4635403
,29,16396.45038,16808.32715,16924.42765,18919.19923,17356.75166,19613.20196,16370.58313,18097.83981,19543.70496,15224.85416,14100.47399,15618.93373,17861.24163,17642.45198,16549.00887,17592.85864,17151.78665,16874.84684,7199.190756,10638.83698,13810.12886,1479.448442,2272.17616,879.4149222,10103.49905,12867.78636,12968.15754,7721.45681,6939.955769,9006.740827,1708.463798,1078.73966,1535.440727,14.09664888,11.80896487,-40.28628251,983.6006972,812.3896424,146.3064814,277.770213,158.7777377,98.69011615,-49.61069685,-24.84188561,-38.46264835,-37.48775502,-48.25419798,-36.64434288
,30,16663.06781,17087.26285,17248.2956,19350.324,17687.37479,20053.66387,17019.71293,18699.93131,20261.23462,16648.3679,15941.16792,17237.17262,18354.61872,18166.65409,17065.02597,18443.86874,17976.03459,17779.5148,10466.29571,13898.95764,16773.87161,2826.940651,4271.468534,1762.528051,12820.19237,15634.19262,15610.10206,11308.88281,10674.94796,12761.5146,3220.699712,2109.540296,2906.668917,93.45819985,72.29005661,-2.529710535,1950.224346,1617.747523,332.7836259,625.5964093,347.2358359,265.2591656,-38.74212689,12.07763298,-39.48216091,-39.56553654,-46.0193485,-19.22362525
,31,16859.14225,17293.85198,17449.60849,19631.45577,17927.23708,20381.69476,17432.83019,19102.04803,20724.4771,17501.48987,17051.74433,18198.44471,18692.20494,18515.83235,17406.17251,19007.15161,18506.76488,18358.83329,13517.6262,16355.21877,18719.9895,5092.202688,7710.10827,3314.813462,14732.03934,17432.13319,17318.35381,14620.38019,13933.51097,16085.28306,5738.764111,3916.350875,5259.047063,238.48813,181.0486473,69.84107808,3654.284112,3062.644181,688.7642773,1276.766765,720.4795617,590.8749135,-24.01696647,80.64597063,-39.09597677,-33.53908826,-28.82679241,37.85803298
,32,16989.67639,17433.42826,17612.36092,19855.55295,18098.0385,20611.21812,17744.91599,19398.91072,21050.47596,18045.1607,17748.76429,18816.94687,18936.04505,18762.68182,17676.04646,19391.85822,18894.85198,18793.51435,15864.78351,17952.26614,19916.97118,8425.338892,11316.71898,5877.286894,15887.97047,18528.49138,18352.93578,17065.96935,16425.39829,18522.26292,9450.112688,6801.995455,8943.21334,530.9959249,389.2001601,202.9910469,6388.830198,5461.852115,1361.942423,2491.379968,1397.071067,1206.268444,21.87023836,220.8517029,-38.13211856,-34.0069837,-17.6309561,145.2456722
